time,DHG,target,VNINDEX_lag2,PHARMA_lag1
2024-06-07,113.85,1,1284.35,29.815862068965515
2024-06-10,115.25,0,1283.56,29.88637931034483
2024-06-11,113.9,0,1287.58,29.976551724137927
2024-06-12,112.93,0,1290.67,29.749655172413792
2024-06-13,111.86,0,1284.41,29.65896551724138
2024-06-17,111.76,1,1300.19,29.75603448275862
2024-06-18,112.73,0,1301.51,29.94551724137931
2024-06-19,112.25,1,1274.77,30.109482758620693
2024-06-20,112.35,0,1279.5,30.127241379310348
2024-06-21,111.86,0,1279.79,30.146724137931034
2024-06-24,110.22,0,1282.3,30.16396551724138
2024-06-25,109.92,0,1282.02,29.519310344827584
2024-06-26,109.44,1,1254.12,29.68706896551724
2024-06-27,109.73,0,1256.56,29.63637931034483
2024-06-28,109.73,0,1261.24,29.61448275862069
2024-07-01,109.73,1,1259.09,29.34344827586207
2024-07-02,109.83,1,1245.32,29.937413793103445
2024-07-03,109.92,1,1254.56,29.77706896551724
2024-07-04,110.51,0,1269.79,29.68948275862069
2024-07-05,109.54,0,1276.85,29.84448275862069
2024-07-09,108.18,0,1279.89,29.83655172413793
2024-07-10,106.92,1,1283.04,29.54758620689655
2024-07-11,107.5,1,1293.71,29.897241379310344
2024-07-12,107.99,1,1285.94,30.20741379310345
